Description,Price,Rating,Review,Size,Discount,Price Before Discount
ASUS ROG Strix G15 (2021) Advantage Edition Ryzen 9 Oct...,"₹1,54,990",4.6,(113),"15.6 inch, Original Black, 2.50 kg, With MS Office",25% off,"₹2,07,990"
Lenovo Ideapad Slim3 Core i3 11th Gen - (8 GB/256 GB SS...,"₹42,990",4.4,(370),"14 Inch, Arctic Grey, 1.41 KG, With MS Office",24% off,"₹57,290"
MSI Modern 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windo...,"₹45,990",4.5,(48),"14 inch, Carbon Grey, 1.3 Kg",25% off,"₹61,990"
ASUS VivoBook K15 OLED (2021) Ryzen 5 Hexa Core 5500U -...,"₹62,990",4.5,(71),"15.6 inch, Transparent Silver, 1.80 kg, With MS Office",20% off,"₹78,990"
HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/...,"₹58,990",4.5,(16),"14 inch, Natural Silver, 1.41 Kg, With MS Office",13% off,"₹67,931"
MSI GF63 Thin Core i5 10th Gen - (8 GB/1 TB HDD/Windows...,"₹49,990",4.3,(283),"15.6 inch, Black, 1.86 KG",31% off,"₹72,990"
ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB...,"₹35,990",4.2,(46),"15.6 inch, Transparent Silver, 1.80 kg, With MS Office",28% off,"₹49,990"
HP HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Win...,"₹67,990",4.5,(207),"14 inches, Tranquil Pink, 1.41 kg, With MS Office",6% off,"₹72,536"
Lenovo Thinkbook Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹47,990",4.6,(7),"15 inch, Mineral Grey, 1.7 kg",34% off,"₹72,850"
HP Pavilion Aero Ryzen 5 Hexa Core 5600U - (16 GB/512 G...,"₹69,990",4.7,(29),"13.3 inches, Pale Rose Gold, 0.97 kg, With MS Office",22% off,"₹89,992"
DELL Vostro Core i5 11th Gen - (8 GB/512 GB SSD/Windows...,"₹53,990",4.2,(13),"14 inch, Accent Black, 1.58 Kg, With MS Office",33% off,"₹80,711"
ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC St...,"₹20,990",4.3,(195),"14 inch, Silver, 1.20 Kg",16% off,"₹24,990"
Lenovo Thinkbook Convertible Core i7 11th Gen - (16 GB/...,"₹1,07,990",No rating available,No review available,"14 inch, Mineral Grey, 1.5 kg, With MS Office",1% off,"₹1,09,696"
DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Wind...,"₹68,990",4.5,(6),"14 inch, Platinum Silver, 1.46 Kg, With MS Office",31% off,"₹1,00,006"
MSI GF65 Thin Core i7 10th Gen - (16 GB/1 TB SSD/Window...,"₹94,990",4.5,(69),"15.6 inch, Black, 1.86 kg",23% off,"₹1,23,990"
acer Aspire 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windo...,"₹52,900",4.2,(13),"15.6 inch, Pure Silver, 1.65 kg, With MS Office",30% off,"₹75,999"
HP Pavilion Core i5 11th Gen - (8 GB/512 GB SSD/Windows...,"₹59,990",4.5,(112),"14 Inch, Natural Silver, 1.41 Kg, With MS Office",14% off,"₹69,999"
MSI GF63 Thin Core i5 10th Gen - (8 GB/512 GB SSD/Windo...,"₹62,990",4.5,(362),"15.6 inch, Black, 1.86 kg",25% off,"₹83,990"
acer Aspire Core i3 11th Gen - (4 GB/256 GB SSD/Windows...,"₹36,990",4.5,(8),"14 inch, Pure Silver, 1.55 kg",33% off,"₹55,990"
Vaio SE Series Core i5 8th Gen - (8 GB/512 GB SSD/Windo...,"₹45,990",4,(33),"14 inch, Red Copper, 1.35 kg, With MS Office",45% off,"₹84,690"
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,41,990",4.2,(22),"15.6 inches, Moonlight White, 1.90 kg, With MS Office",25% off,"₹1,89,990"
HP 14s Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 H...,"₹45,990",4.2,(21),"14 Inch, Natural Silver, 1.49 KG, With MS Office",17% off,"₹55,904"
ASUS ROG Zephyrus G14 Ryzen 7 Octa Core 4800HS - (8 GB/...,"₹77,990",4.7,(13),"14 inch, Eclipse Gray, 1.60 Kg",37% off,"₹1,23,990"
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Wi...,"₹36,990",No rating available,No review available,"14 inch, Platinum Grey, With MS Office",36% off,"₹57,990"
Lenovo Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB...,"₹99,990",No rating available,No review available,"15.6 inch, Phantom Blue, Shadow Black, 2.4 kg, With MS Office",27% off,"₹1,38,490"
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,39,990",4.2,(42),"15.6 inch, Eclipse Gray, 1.90 Kg, With MS Office",25% off,"₹1,87,990"
ASUS VivoBook Ultra K14 (2021) Ryzen 5 Hexa Core 5500U ...,"₹52,990",4.5,(122),"14 inch, Transparent Silver, 1.40 kg, With MS Office",27% off,"₹72,990"
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home)...,"₹48,990",4.3,"(1,337)","15.6 inch, Natural Silver, 1.75 Kg, With MS Office",No discount available,"₹49,144"
Lenovo Thinkbook Core i5 11th Gen - (8 GB/512 GB SSD/Wi...,"₹67,990",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",40% off,"₹1,15,167"
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/256 GB SSD/Wi...,"₹41,990",4.2,(24),"15.6 inch, Transparent Silver, 1.80 kg, With MS Office",17% off,"₹50,990"
HP Pavilion Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD...,"₹89,990",4.6,(142),"15.6 inches, Shadow Black, 1.98 kg, With MS Office",12% off,"₹1,03,215"
Lenovo Legion 5 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HD...,"₹65,990",4.6,(43),"15.6 inch, Phantom Black, 2.3 kg",29% off,"₹93,690"
Lenovo Thinkbook Core i7 11th Gen - (16 GB/512 GB SSD/W...,"₹1,40,131",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",No discount available,No previous price available
ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home...,"₹24,990",3.8,"(12,204)","15.6 inch, Transparent Silver, 1.9 kg",7% off,"₹26,990"
ASUS Core i7 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/...,"₹73,990",4.5,(66),"15.6 inch, Black Plastic, 2.30 Kg",9% off,"₹81,990"
HP 14s Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windo...,"₹52,490",4.3,(423),"14 Inch, Natural Silver, 1.46 KG, With MS Office",10% off,"₹58,656"
MSI Bravo Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Wi...,"₹64,990",4.5,(55),"15.6 inch, Black, 2.35 Kg",22% off,"₹83,990"
ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB ...,"₹56,990",4.5,(565),"14 inch, Bespoke Black, 1.40 kg, With MS Office",22% off,"₹73,990"
Lenovo Ideapad Slim 3i Core i5 10th Gen - (8 GB/512 GB ...,"₹50,990",4.2,(472),"15.6 inch, Platinum Grey, 1.85 kg, With MS Office",12% off,"₹57,990"
Lenovo ThinkPad E14 Gen2 Ryzen 5 Hexa Core 4650U 5th Ge...,"₹50,990",4.4,(244),"14 inch, Black, 1.59 KG, With MS Office",20% off,"₹64,038"
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SS...,"₹54,990",4.5,"(1,883)","15.6 inch, Black, 2.15 kg",38% off,"₹89,000"
